ann_id,image_id,file_name,orientation,face_visible,num_keypoints,area,bbox_h,gt_shoulder_sign,detector,n_person_det,top1_score,top1_iou,best_iou,best_rank,top1_mask_iou,top1_mask_precision,top1_mask_recall,det_latency_ms,pose_oks_raw,pose_oks_corrected,pose_pck02_corrected,pose_n_scored,pose_chirality_swapped,pose_chirality_margin,pose_n_chir,pose_pred_shoulder_sign,pose_conf_mean
183125,185250,000000185250.jpg,FRONT,3,17,15247.6,291.4,-1,gt_box,,,1.0,1.0,0,,,,,0.9869071600635492,0.9869071600635492,1.0,15,0,-0.49395412183741305,8,-1,0.9203677668290979
183125,185250,000000185250.jpg,FRONT,3,17,15247.6,291.4,-1,rtmdet_ins_s,23,0.8983,0.9329,0.9329,0,0.9054,0.9247,0.9775,1617.6,0.9892536052452596,0.9892536052452596,1.0,15,0,-0.4947582298404206,8,-1,0.9209799801602083
183125,185250,000000185250.jpg,FRONT,3,17,15247.6,291.4,-1,rtmdet_ins_tiny,20,0.8990,0.9602,0.9602,0,0.9115,0.9324,0.9760,1025.0,0.990592860320275,0.990592860320275,1.0,15,0,-0.49646551535357697,8,-1,0.9224305433385512
183125,185250,000000185250.jpg,FRONT,3,17,15247.6,291.4,-1,rtmdet_nano_person,23,0.8928,0.9709,0.9709,0,,,,293.4,0.9860468177232069,0.9860468177232069,1.0,15,0,-0.49499601143544497,8,-1,0.9207371999235714
183301,549390,000000549390.jpg,OBLIQUE,2,15,23976.6,294.1,-1,gt_box,,,1.0,1.0,0,,,,,0.9786382914518434,0.9786382914518434,1.0,15,0,-0.21658984507178097,12,-1,0.8295958603129667
183301,549390,000000549390.jpg,OBLIQUE,2,15,23976.6,294.1,-1,rtmdet_ins_s,13,0.8848,0.8414,0.8414,0,0.8733,0.9116,0.9541,2320.2,0.9708145562811844,0.9708145562811844,1.0,15,0,-0.2210495263152699,12,-1,0.8327503449776593
183301,549390,000000549390.jpg,OBLIQUE,2,15,23976.6,294.1,-1,rtmdet_ins_tiny,18,0.8925,0.8136,0.8136,0,0.8648,0.9213,0.9337,1264.0,0.9772586147826471,0.9772586147826471,1.0,15,0,-0.21951732012817105,12,-1,0.8416717578383053
183301,549390,000000549390.jpg,OBLIQUE,2,15,23976.6,294.1,-1,rtmdet_nano_person,19,0.7657,0.7575,0.7575,0,,,,629.6,0.9723009324842912,0.9723009324842912,1.0,15,0,-0.22075821023467038,12,-1,0.8488646219758427
183349,7281,000000007281.jpg,FRONT,3,15,4698.5,166.4,-1,gt_box,,,1.0,1.0,0,,,,,0.9175984456696481,0.9175984456696481,1.0,13,0,-0.6268575580302963,8,-1,0.817812442779541
183349,7281,000000007281.jpg,FRONT,3,15,4698.5,166.4,-1,rtmdet_ins_s,38,0.7302,0.6012,0.8077,32,0.8362,0.9333,0.8893,2021.7,0.9074407139868019,0.9074407139868019,1.0,13,0,-0.6106096325398361,8,-1,0.7664745800635394
183349,7281,000000007281.jpg,FRONT,3,15,4698.5,166.4,-1,rtmdet_ins_tiny,38,0.6852,0.5773,0.9067,1,0.8351,0.9317,0.8896,2015.8,0.9227897917887783,0.9227897917887783,1.0,13,0,-0.624185148476314,8,-1,0.7639575004577637
183349,7281,000000007281.jpg,FRONT,3,15,4698.5,166.4,-1,rtmdet_nano_person,41,0.7069,0.0618,0.8697,2,,,,599.3,3.667634839832158e-06,3.667634839832158e-06,0.0,13,0,-0.01638080081610971,8,-1,0.7914804115014917
183352,565853,000000565853.jpg,REAR,0,14,11687.6,232.6,1,gt_box,,,1.0,1.0,0,,,,,0.9501148529179155,0.9501148529179155,1.0,12,0,-0.4180570476553921,10,1,0.6818635919514824
183352,565853,000000565853.jpg,REAR,0,14,11687.6,232.6,1,rtmdet_ins_s,14,0.7371,0.9159,0.9159,0,0.8205,0.8944,0.9086,1789.2,0.950891392446093,0.950891392446093,1.0,12,0,-0.41988982296863975,10,1,0.6863269770846647
183352,565853,000000565853.jpg,REAR,0,14,11687.6,232.6,1,rtmdet_ins_tiny,22,0.6837,0.9161,0.9161,0,0.7921,0.8511,0.9195,1326.9,0.9540424736819357,0.9540424736819357,1.0,12,0,-0.42394726379244707,10,1,0.6949488240129807
183352,565853,000000565853.jpg,REAR,0,14,11687.6,232.6,1,rtmdet_nano_person,72,0.7291,0.9140,0.9140,0,,,,736.0,0.960828720414011,0.960828720414011,1.0,12,0,-0.4242946763729876,10,1,0.6796477962942684
183458,161609,000000161609.jpg,REAR,0,14,5112.6,152.3,1,gt_box,,,1.0,1.0,0,,,,,0.9560975580704333,0.9560975580704333,1.0,14,0,-0.37011917244871273,12,1,0.7725711044143228
183458,161609,000000161609.jpg,REAR,0,14,5112.6,152.3,1,rtmdet_ins_s,16,0.8320,0.9379,0.9379,0,0.8984,0.9500,0.9430,1542.3,0.9618666616447121,0.9618666616447121,1.0,14,0,-0.37103802994761376,12,1,0.7740742949878469
183458,161609,000000161609.jpg,REAR,0,14,5112.6,152.3,1,rtmdet_ins_tiny,17,0.8700,0.9407,0.9407,0,0.8990,0.9460,0.9476,1556.4,0.9628784759982765,0.9628784759982765,1.0,14,0,-0.3724890839829037,12,1,0.76456319584566
183458,161609,000000161609.jpg,REAR,0,14,5112.6,152.3,1,rtmdet_nano_person,100,0.6351,0.9575,0.9575,0,,,,1578.2,0.9614952626471133,0.9614952626471133,1.0,14,0,-0.37079506621417213,12,1,0.7622053132337683
183464,389532,000000389532.jpg,REAR,0,12,5331.2,170.3,1,gt_box,,,1.0,1.0,0,,,,,0.9855658089763935,0.9855658089763935,1.0,10,0,-0.2654142826130545,6,1,0.8285640162580153
183464,389532,000000389532.jpg,REAR,0,12,5331.2,170.3,1,rtmdet_ins_s,2,0.8894,0.9440,0.9440,0,0.7355,0.8144,0.8837,1182.9,0.9840996951515593,0.9840996951515593,1.0,10,0,-0.2632750234361981,6,1,0.8186957205043119
183464,389532,000000389532.jpg,REAR,0,12,5331.2,170.3,1,rtmdet_ins_tiny,4,0.8708,0.9851,0.9851,0,0.7386,0.8207,0.8807,2574.2,0.9819090832775365,0.9819090832775365,1.0,10,0,-0.260766644763143,6,1,0.8276461538146523
183464,389532,000000389532.jpg,REAR,0,12,5331.2,170.3,1,rtmdet_nano_person,8,0.8773,0.9785,0.9785,0,,,,444.8,0.9796551943292476,0.9796551943292476,1.0,10,0,-0.26163236686350555,6,1,0.8332572544322294
183471,121031,000000121031.jpg,FRONT,3,13,7833.5,215.9,-1,gt_box,,,1.0,1.0,0,,,,,0.9602486457878072,0.9602486457878072,1.0,13,0,-0.5008877569376012,6,-1,0.8673790447852191
183471,121031,000000121031.jpg,FRONT,3,13,7833.5,215.9,-1,rtmdet_ins_s,28,0.8147,0.9237,0.9237,0,0.7513,0.9072,0.8139,2025.8,0.9545889631226098,0.9545889631226098,1.0,13,0,-0.5002444507091656,6,-1,0.8723127631580129
183471,121031,000000121031.jpg,FRONT,3,13,7833.5,215.9,-1,rtmdet_ins_tiny,31,0.7923,0.8963,0.8963,0,0.7229,0.8575,0.8216,1697.8,0.9641988755428105,0.9641988755428105,1.0,13,0,-0.5048540337947673,6,-1,0.8508824110031128
183471,121031,000000121031.jpg,FRONT,3,13,7833.5,215.9,-1,rtmdet_nano_person,39,0.7042,0.6905,0.6905,0,,,,201.8,0.9587466634072729,0.9587466634072729,1.0,13,0,-0.4989763942532446,6,-1,0.8807818048140582
183598,488251,000000488251.jpg,FRONT,3,13,45440.1,327.0,-1,gt_box,,,1.0,1.0,0,,,,,0.954175640949498,0.954175640949498,1.0,13,0,-0.6571294397461944,8,-1,0.7479859432753395
183598,488251,000000488251.jpg,FRONT,3,13,45440.1,327.0,-1,rtmdet_ins_s,19,0.8927,0.9558,0.9558,0,0.9476,0.9837,0.9628,2030.0,0.9547890065622119,0.9547890065622119,1.0,13,0,-0.6555708094265364,8,-1,0.7492830122218412
183598,488251,000000488251.jpg,FRONT,3,13,45440.1,327.0,-1,rtmdet_ins_tiny,24,0.8559,0.9325,0.9325,0,0.9328,0.9880,0.9435,1674.4,0.9575294614992327,0.9575294614992327,1.0,13,0,-0.660922313392431,8,-1,0.743055943180533
183598,488251,000000488251.jpg,FRONT,3,13,45440.1,327.0,-1,rtmdet_nano_person,75,0.7680,0.9800,0.9800,0,,,,393.2,0.9593151139936936,0.9593151139936936,1.0,13,0,-0.6602737038457628,8,-1,0.7490337455973906
183695,353180,000000353180.jpg,REAR,0,10,8473.4,209.4,1,gt_box,,,1.0,1.0,0,,,,,0.8735398525123979,0.8735398525123979,1.0,10,0,-0.23400074824845846,8,1,0.49950285606524525
183695,353180,000000353180.jpg,REAR,0,10,8473.4,209.4,1,rtmdet_ins_s,68,0.7887,0.0000,0.9385,3,0.0000,0.0000,0.0000,1894.3,9.056878333466725e-07,0.00039576475934353374,0.0,10,1,0.006498381118744234,8,1,0.6738578046069426
183695,353180,000000353180.jpg,REAR,0,10,8473.4,209.4,1,rtmdet_ins_tiny,58,0.6865,0.0398,0.9674,3,0.0008,0.0018,0.0015,1604.4,0.015606960437978597,0.1503462097823783,0.1,10,1,0.0017952165183318103,8,1,0.6227717943051282
183695,353180,000000353180.jpg,REAR,0,10,8473.4,209.4,1,rtmdet_nano_person,100,0.5246,0.0000,0.9617,3,,,,350.0,8.269143662176202e-07,0.000396956666205463,0.0,10,1,0.0057350974093219875,8,1,0.6411314431358787
183777,13177,000000013177.jpg,OBLIQUE,2,15,62508.0,351.5,-1,gt_box,,,1.0,1.0,0,,,,,0.9655705118910103,0.9655705118910103,1.0,15,0,-0.22963007467926694,12,-1,0.7718141078948975
183777,13177,000000013177.jpg,OBLIQUE,2,15,62508.0,351.5,-1,rtmdet_ins_s,16,0.9259,0.9348,0.9348,0,0.7737,0.9648,0.7962,3187.7,0.9668764358925283,0.9668764358925283,1.0,15,0,-0.231347715925998,12,-1,0.7706593800993526
183777,13177,000000013177.jpg,OBLIQUE,2,15,62508.0,351.5,-1,rtmdet_ins_tiny,9,0.8339,0.9217,0.9217,0,0.8237,0.9521,0.8594,1420.5,0.9668466724447085,0.9668466724447085,1.0,15,0,-0.2301540000473603,12,-1,0.7743122437421013
183777,13177,000000013177.jpg,OBLIQUE,2,15,62508.0,351.5,-1,rtmdet_nano_person,51,0.8696,0.8956,0.8956,0,,,,334.4,0.9542468652370656,0.9542468652370656,1.0,15,0,-0.22913037799054192,12,-1,0.7660235797657686
183778,47571,000000047571.jpg,OBLIQUE,2,15,5383.8,163.8,-1,gt_box,,,1.0,1.0,0,,,,,0.9298343917831996,0.9298343917831996,1.0,15,0,-0.16922602054401786,12,-1,0.7973827474257525
183778,47571,000000047571.jpg,OBLIQUE,2,15,5383.8,163.8,-1,rtmdet_ins_s,9,0.8967,0.9457,0.9457,0,0.8828,0.9486,0.9271,2550.3,0.9345968844929341,0.9345968844929341,1.0,15,0,-0.16932303272800742,12,-1,0.803905122420367
183778,47571,000000047571.jpg,OBLIQUE,2,15,5383.8,163.8,-1,rtmdet_ins_tiny,20,0.7961,0.9556,0.9556,0,0.8835,0.9520,0.9247,2007.2,0.928270893672582,0.928270893672582,1.0,15,0,-0.17227355031473565,12,-1,0.801485208904042
183778,47571,000000047571.jpg,OBLIQUE,2,15,5383.8,163.8,-1,rtmdet_nano_person,55,0.8050,0.9478,0.9478,0,,,,470.1,0.9477088335977342,0.9477088335977342,1.0,15,0,-0.17751841571453233,12,-1,0.8011366760029512
183831,112298,000000112298.jpg,FRONT,3,12,32081.1,263.9,-1,gt_box,,,1.0,1.0,0,,,,,0.9846837291255386,0.9846837291255386,1.0,12,0,-0.5925213194702863,6,-1,0.7401873250217998
183831,112298,000000112298.jpg,FRONT,3,12,32081.1,263.9,-1,rtmdet_ins_s,17,0.9006,0.9700,0.9700,0,0.9598,0.9651,0.9944,1485.0,0.9854420180056738,0.9854420180056738,1.0,12,0,-0.5920230776111459,6,-1,0.7449805920614916
183831,112298,000000112298.jpg,FRONT,3,12,32081.1,263.9,-1,rtmdet_ins_tiny,5,0.7984,0.8552,0.8552,0,0.8683,0.8740,0.9925,2329.9,0.9823633361570502,0.9823633361570502,1.0,12,0,-0.5904073758920471,6,-1,0.7463603633291581
183831,112298,000000112298.jpg,FRONT,3,12,32081.1,263.9,-1,rtmdet_nano_person,29,0.8869,0.8798,0.8798,0,,,,1051.0,0.9772619513301984,0.9772619513301984,1.0,12,0,-0.5876598607164877,6,-1,0.7326859901933109
183910,494188,000000494188.jpg,FRONT,3,16,13740.4,259.0,-1,gt_box,,,1.0,1.0,0,,,,,0.9745398592778242,0.9745398592778242,1.0,16,0,-0.3238816476449115,12,-1,0.8772750041064095
183910,494188,000000494188.jpg,FRONT,3,16,13740.4,259.0,-1,rtmdet_ins_s,34,0.9070,0.9378,0.9378,0,0.9333,0.9495,0.9820,1215.0,0.9746003277396587,0.9746003277396587,1.0,16,0,-0.32623874514197204,12,-1,0.8992849342963275
183910,494188,000000494188.jpg,FRONT,3,16,13740.4,259.0,-1,rtmdet_ins_tiny,27,0.8876,0.9416,0.9416,0,0.9336,0.9525,0.9791,1397.9,0.9732173730243274,0.9732173730243274,1.0,16,0,-0.3303236220479646,12,-1,0.8874517538968254
183910,494188,000000494188.jpg,FRONT,3,16,13740.4,259.0,-1,rtmdet_nano_person,100,0.8364,0.9482,0.9482,0,,,,207.5,0.9695677729590639,0.9695677729590639,1.0,16,0,-0.32728602133371537,12,-1,0.8846257469233345
184031,250127,000000250127.jpg,FRONT,3,17,37455.4,422.8,-1,gt_box,,,1.0,1.0,0,,,,,0.9644643553441488,0.9644643553441488,1.0,17,0,-0.31508006925155074,12,-1,0.9049606112872853
184031,250127,000000250127.jpg,FRONT,3,17,37455.4,422.8,-1,rtmdet_ins_s,2,0.8612,0.9586,0.9586,0,0.8630,0.9793,0.8790,2160.6,0.9668511342552222,0.9668511342552222,1.0,17,0,-0.317671892277584,12,-1,0.909413243041319
