ann_id,orientation,n_painted,n_found,tape_verdict,injected_verdict,gt_swapped,n_marker_scored,n_unassigned,n_ambiguous,n_gross_miss
183125,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
183301,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
183349,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
183352,REAR,3,3,CORRECT,SWAPPED,0,3,0,0,0
183458,REAR,4,4,CORRECT,SWAPPED,0,4,0,0,0
183464,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
183471,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
183598,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
183695,REAR,3,3,CORRECT,SWAPPED,0,1,0,1,1
183777,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
183778,OBLIQUE,4,4,CORRECT,SWAPPED,0,3,0,1,0
183831,FRONT,1,1,CORRECT,SWAPPED,0,1,0,0,0
183910,FRONT,4,4,CORRECT,SWAPPED,0,3,0,1,0
184031,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
184136,REAR,2,1,CORRECT,SWAPPED,0,1,0,0,0
184170,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
184179,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
184316,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
184397,FRONT,3,3,CORRECT,SWAPPED,0,2,0,1,0
184586,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
185090,FRONT,4,4,CORRECT,SWAPPED,0,2,0,1,1
185120,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
185430,REAR,3,3,CORRECT,SWAPPED,0,3,0,0,0
186004,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
186032,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
186054,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
186234,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
186421,OBLIQUE,4,4,CORRECT,SWAPPED,0,2,0,2,0
186489,FRONT,4,4,CORRECT,SWAPPED,0,2,0,2,0
186530,PROFILE,4,4,CORRECT,SWAPPED,0,4,0,0,0
186645,FRONT,4,4,CORRECT,SWAPPED,0,3,0,1,0
186758,OBLIQUE,3,3,CORRECT,SWAPPED,0,1,0,2,0
186786,OBLIQUE,3,3,CORRECT,SWAPPED,0,1,0,2,0
186932,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
187166,OBLIQUE,3,3,CORRECT,SWAPPED,0,1,0,2,0
187444,REAR,2,2,CORRECT,SWAPPED,0,1,0,1,0
187448,OBLIQUE,2,2,CORRECT,SWAPPED,0,1,0,1,0
187457,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
187509,FRONT,2,3,CORRECT,SWAPPED,0,1,0,0,2
187761,FRONT,3,3,CORRECT,SWAPPED,0,2,0,1,0
187996,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
188176,OBLIQUE,2,3,NO_SIGNAL,NO_SIGNAL,0,0,0,1,2
188309,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
188447,FRONT,3,3,CORRECT,SWAPPED,0,1,0,0,2
188585,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
188853,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
189022,REAR,3,3,CORRECT,SWAPPED,0,3,0,0,0
189717,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
189976,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
190054,REAR,4,4,CORRECT,SWAPPED,0,4,0,0,0
190980,FRONT,2,3,CORRECT,SWAPPED,0,2,0,0,1
191020,REAR,4,4,CORRECT,SWAPPED,0,4,0,0,0
191201,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
191374,OBLIQUE,2,2,CORRECT,SWAPPED,0,2,0,0,0
191529,REAR,3,3,NO_SIGNAL,NO_SIGNAL,0,0,0,2,1
191766,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
191770,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
191789,FRONT,1,1,NO_SIGNAL,NO_SIGNAL,0,0,0,1,0
191818,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
192465,FRONT,4,4,CORRECT,SWAPPED,0,2,0,2,0
192816,OBLIQUE,2,2,CORRECT,SWAPPED,0,2,0,0,0
192858,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
